epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.424,2.99323,4.97045,3.30696,0.17842,0.12579,0.07378,0.02243,2.25698,5.40002,2.28296,0.000555409,0.000555409,0.000555409
2,767.302,2.60273,3.0838,2.66326,0.20842,0.2376,0.12929,0.04702,2.00399,3.06924,2.01581,0.00100108,0.00100108,0.00100108
3,1137.64,2.43096,2.82906,2.47864,0.28508,0.29217,0.18631,0.07087,1.9048,2.90796,1.93242,0.00133673,0.00133673,0.00133673
4,1514.86,2.28422,2.67836,2.35839,0.3129,0.29694,0.21685,0.08806,1.83729,2.89553,1.86453,0.0011719,0.0011719,0.0011719
5,1886.62,2.155,2.49081,2.22191,0.38111,0.32054,0.27899,0.11716,1.72896,2.39602,1.74752,0.00100687,0.00100687,0.00100687
6,2262.26,2.05345,2.33585,2.1132,0.44156,0.35577,0.33949,0.14964,1.64,2.49326,1.66261,0.000841835,0.000841835,0.000841835
7,2635.19,1.97608,2.21426,2.045,0.43327,0.37225,0.33544,0.1459,1.61048,2.25687,1.63233,0.000676802,0.000676802,0.000676802
8,3004.48,1.91464,2.11127,1.97364,0.48094,0.41075,0.3933,0.17859,1.5554,2.1256,1.58495,0.000511769,0.000511769,0.000511769
9,3377.04,1.86413,2.00804,1.92874,0.52805,0.43258,0.43885,0.20265,1.53983,2.02312,1.56287,0.000346736,0.000346736,0.000346736
10,3746.79,1.81533,1.92825,1.88777,0.55386,0.44168,0.46631,0.22146,1.50952,1.94615,1.53184,0.000181703,0.000181703,0.000181703
